ID;TIME
245;13208303.60055 ns;
246;13175195.08302 ns;
247;13197318.65078 ns;
248;13203726.15010 ns;
249;13211846.35162 ns;
250;13316977.76914 ns;
251;13274306.43141 ns;
252;13234743.84844 ns;
253;13401305.30298 ns;
254;13306702.48717 ns;
255;13272459.61875 ns;
256;13309982.60528 ns;
257;14479599.89309 ns;
258;13679584.48827 ns;
259;13679951.42937 ns;
260;13260423.20579 ns;
261;13240118.51102 ns;
262;13236042.11211 ns;
263;13227201.99823 ns;
264;13247274.79368 ns;
265;13228491.88000 ns;
266;13227094.89614 ns;
267;13250621.96702 ns;
268;13235325.92505 ns;
269;13725826.51675 ns;
270;13297507.53939 ns;
271;13337783.51545 ns;
272;13481419.53349 ns;
273;13275940.90253 ns;
274;13228920.28838 ns;
275;13267826.28894 ns;
276;13241099.19369 ns;
277;13231628.57443 ns;
278;13250923.71553 ns;
279;13303508.98206 ns;
280;13244695.03015 ns;
281;13273751.36316 ns;
282;13282923.95920 ns;
283;13333437.96432 ns;
284;13272505.25355 ns;
285;13277550.22794 ns;
286;13240220.02518 ns;
287;13296998.10594 ns;
288;14381922.78147 ns;
289;13245625.42140 ns;
290;13260228.55937 ns;
291;13219757.93689 ns;
292;13238647.02135 ns;
293;13262527.06349 ns;
294;13220623.13557 ns;
295;13306669.89088 ns;
296;13253797.77700 ns;
297;13240032.82934 ns;
298;13234311.71477 ns;
299;13217504.13626 ns;
300;13439421.54199 ns;
301;13268484.73400 ns;
302;13317551.46384 ns;
303;13479860.49950 ns;
304;13362371.36275 ns;
305;13345737.01024 ns;
306;13256013.39340 ns;
307;13286969.62446 ns;
308;13225049.71176 ns;
309;13253731.65309 ns;
310;13250809.16286 ns;
311;13230600.39431 ns;
312;13296382.50172 ns;
313;13227433.89755 ns;
314;13235021.38257 ns;
315;13506990.85742 ns;
316;13316369.61550 ns;
317;13334526.68041 ns;
318;13366793.28233 ns;
319;14485062.09999 ns;
320;13323890.04529 ns;
321;13302358.79868 ns;
322;13277556.74720 ns;
323;13247483.40994 ns;
324;13268943.87603 ns;
