ID;HW;LENGTH;TIME
365;131;33;13222896.95963 ns;
366;659;168;13145138.97523 ns;
367;452;107;13142957.81776 ns;
368;339;83;13131265.06284 ns;
369;445;115;13130666.68808 ns;
370;18;4;13145091.94344 ns;
371;99;24;13132365.88612 ns;
372;80;22;14339807.44332 ns;
373;624;153;13216720.89398 ns;
374;366;89;13131875.07913 ns;
375;333;82;13168045.78528 ns;
376;712;179;13209316.87951 ns;
377;381;94;13171532.65700 ns;
378;316;90;13130000.32678 ns;
379;421;103;13217491.09775 ns;
380;101;26;13171901.92640 ns;
381;69;16;13146996.96377 ns;
382;593;149;13132765.88917 ns;
383;603;153;13155400.75302 ns;
384;199;47;13142280.74625 ns;
385;515;127;13211007.22998 ns;
386;265;66;13145026.28520 ns;
387;452;110;13185754.88403 ns;
388;230;59;13131909.07240 ns;
389;178;46;13162553.31039 ns;
390;522;127;13131435.02921 ns;
391;613;149;13139660.93585 ns;
392;703;175;13147900.81233 ns;
393;573;137;13222807.08700 ns;
394;218;54;13236100.31977 ns;
395;428;104;13182517.14110 ns;
396;347;85;13170331.25088 ns;
397;635;156;13131726.06751 ns;
398;430;108;13184602.83801 ns;
399;238;63;13169065.58350 ns;
400;711;179;13313757.25567 ns;
401;375;93;13380885.12421 ns;
402;711;178;13193835.97001 ns;
403;106;28;13132621.06851 ns;
404;661;168;13152899.68625 ns;
405;705;172;13183325.99476 ns;
406;575;140;13183070.81237 ns;
407;196;47;13181233.77860 ns;
408;264;68;13182960.91631 ns;
409;115;27;13248869.21793 ns;
410;67;21;13132654.59612 ns;
411;126;30;13172361.99975 ns;
412;385;99;13183046.13233 ns;
413;664;164;13182091.06103 ns;
414;211;54;13233765.95974 ns;
415;320;81;13174445.83401 ns;
416;734;186;13191770.76221 ns;
417;571;144;13209818.39672 ns;
418;338;81;13250348.15818 ns;
419;129;32;13178583.23455 ns;
420;252;68;13207535.72509 ns;
421;263;66;13185032.17772 ns;
422;312;77;13185577.93275 ns;
423;188;49;13210602.10466 ns;
424;705;182;13211369.04880 ns;
425;68;15;13149413.74585 ns;
426;503;125;13169782.23622 ns;
427;666;161;13186230.78987 ns;
428;198;50;13181716.20369 ns;
429;383;96;13364099.89744 ns;
430;267;64;13174888.67790 ns;
431;88;23;13253770.76864 ns;
432;580;148;13142521.95880 ns;
433;533;131;13228200.84170 ns;
434;728;177;13173636.04903 ns;
435;275;66;13209098.01871 ns;
436;571;142;13289390.13183 ns;
437;684;173;13273030.98515 ns;
438;216;56;13255023.86317 ns;
439;154;41;13247061.98648 ns;
440;158;39;13231073.04052 ns;
441;207;52;13256058.09689 ns;
442;181;51;13184202.36930 ns;
443;408;101;13231591.78719 ns;
444;714;173;13234172.94770 ns;
445;535;135;13221930.71246 ns;
446;172;46;14407934.15532 ns;
447;140;32;13181271.96282 ns;
448;161;40;13267472.85202 ns;
449;254;72;13255571.01518 ns;
450;586;148;13198656.03000 ns;
451;377;97;13189498.33512 ns;
452;326;84;13189346.99520 ns;
453;357;88;13257590.12252 ns;
454;454;117;13169761.74712 ns;
455;696;175;13143563.17744 ns;
456;669;162;13189340.01029 ns;
457;3;1;13190183.32288 ns;
458;515;128;13178525.02689 ns;
459;565;141;13333030.97636 ns;
460;356;88;13218408.91615 ns;
461;246;64;13173737.09753 ns;
462;614;156;13193361.92682 ns;
463;443;106;13182980.93975 ns;
464;520;124;13169230.89325 ns;
465;58;15;13200337.99857 ns;
466;27;8;13207237.23620 ns;
467;67;18;13192910.23538 ns;
468;603;146;13211508.74719 ns;
469;552;141;13145335.01863 ns;
470;344;84;13174196.23956 ns;
471;532;130;13185308.31486 ns;
472;115;28;13175382.74452 ns;
473;421;104;13186156.74973 ns;
474;561;140;13334027.02585 ns;
475;448;111;13324344.06504 ns;
476;286;74;13147559.01694 ns;
477;709;177;13177484.73957 ns;
478;150;41;13183725.06648 ns;
479;103;26;13182995.84091 ns;
480;558;141;13272115.02939 ns;
481;141;33;13182722.96339 ns;
482;729;189;13193176.12797 ns;
483;588;148;13171039.05603 ns;
484;454;115;13171319.84979 ns;
485;424;102;13183223.08362 ns;
486;555;137;13183827.04630 ns;
487;166;43;13184975.36704 ns;
488;205;49;13357483.78187 ns;
489;758;184;13154722.75019 ns;
490;427;104;13262583.87417 ns;
491;163;39;13149505.94679 ns;
492;420;108;13187355.82754 ns;
493;198;51;13150779.99607 ns;
494;594;148;13131698.12784 ns;
495;385;105;13149200.93864 ns;
496;608;149;13134917.70998 ns;
497;152;39;13220669.70170 ns;
498;389;89;13131122.57048 ns;
499;96;23;13132516.76038 ns;
500;76;21;13132215.94319 ns;
501;574;147;13145174.36549 ns;
502;726;175;13167076.74414 ns;
503;243;59;13132315.12904 ns;
504;519;132;13227051.58964 ns;
505;489;121;13135700.95226 ns;
506;19;5;13145960.86740 ns;
507;127;33;13148607.22050 ns;
508;501;132;13189875.98643 ns;
509;239;61;13219155.83685 ns;
510;488;116;13240312.22612 ns;
511;318;78;13188694.13808 ns;
512;317;76;13185780.96107 ns;
513;251;66;13142102.86364 ns;
514;71;19;13132478.11049 ns;
515;377;94;13135772.19844 ns;
516;51;11;13144404.16172 ns;
517;442;108;13291435.78187 ns;
518;473;123;13129073.19516 ns;
519;32;8;14411971.90434 ns;
520;283;76;13141111.00510 ns;
521;427;110;13153517.15311 ns;
522;111;28;13254508.84178 ns;
523;383;100;13143630.23266 ns;
524;442;109;13173231.85503 ns;
525;180;42;13182134.36753 ns;
526;532;129;13252139.09149 ns;
527;96;24;13135983.14300 ns;
528;80;21;13154591.89937 ns;
529;421;110;13163709.08171 ns;
530;201;51;13151424.93695 ns;
531;376;91;13179050.75848 ns;
532;722;183;13193265.06928 ns;
533;716;186;13161296.02492 ns;
534;597;152;13177093.11843 ns;
535;464;114;13140114.95560 ns;
536;745;183;13259934.26144 ns;
537;241;60;13169605.75059 ns;
538;517;127;13201410.41651 ns;
539;228;61;13234122.19062 ns;
540;533;137;13140970.84105 ns;
541;680;165;13265437.91220 ns;
542;74;19;13178450.05542 ns;
543;22;5;13252831.99549 ns;
544;163;41;13250601.01226 ns;
545;297;67;13185384.21765 ns;
546;599;154;13175460.04429 ns;
547;427;105;13292087.70767 ns;
548;135;35;13390500.09847 ns;
549;299;71;13164284.17340 ns;
550;469;126;13131428.04429 ns;
551;213;47;13148985.80313 ns;
552;637;163;13153887.81950 ns;
553;238;63;13130811.97441 ns;
554;218;54;13131042.01108 ns;
555;514;128;13170470.94926 ns;
556;372;90;13173951.30172 ns;
557;221;52;13132271.82254 ns;
558;391;94;13136717.02519 ns;
559;307;72;13147617.69027 ns;
560;628;155;13132859.02143 ns;
561;642;160;13217794.70891 ns;
562;591;144;13148657.97758 ns;
563;264;66;13280949.08968 ns;
564;770;183;13134277.89137 ns;
565;22;4;13284527.69667 ns;
566;177;41;13146701.73451 ns;
567;11;3;13148727.82677 ns;
568;210;48;13146433.97927 ns;
569;70;20;13153185.13662 ns;
570;385;91;13212810.73615 ns;
571;424;109;13141601.81209 ns;
572;297;76;13144474.01091 ns;
573;162;40;13147632.12577 ns;
574;457;112;13146080.07669 ns;
575;365;96;13139727.99107 ns;
576;221;56;13271347.15393 ns;
577;286;73;13145395.08894 ns;
578;774;189;13210280.79838 ns;
579;302;80;13147515.71044 ns;
580;380;95;13167225.75575 ns;
581;171;43;13165943.79023 ns;
582;110;31;13254708.14481 ns;
583;235;56;13159150.72337 ns;
584;730;174;13149115.25697 ns;
585;46;11;13226797.33858 ns;
586;711;179;13130966.10829 ns;
587;267;66;13145035.13277 ns;
588;110;30;13138466.98031 ns;
589;557;138;13150830.75315 ns;
590;679;173;13149758.33520 ns;
591;602;151;13135872.78128 ns;
592;343;83;13208774.84977 ns;
593;496;122;14331599.69747 ns;
594;445;111;13144003.22735 ns;
595;570;146;13176362.03021 ns;
596;376;90;13265301.00778 ns;
597;297;70;13286977.07504 ns;
598;399;99;13305612.83976 ns;
599;326;83;13306747.65632 ns;
600;531;131;13320869.76618 ns;
601;282;70;13283242.93718 ns;
602;142;34;13342946.76781 ns;
603;134;35;13320174.06821 ns;
604;201;51;13189380.98848 ns;
605;411;100;13326913.11836 ns;
606;86;22;13191284.14616 ns;
607;561;139;13281858.06051 ns;
608;384;98;13321550.09732 ns;
609;146;37;13436870.18380 ns;
610;37;9;13334142.04419 ns;
611;177;43;13336031.69769 ns;
612;530;130;13185194.69351 ns;
613;736;189;13226435.05409 ns;
614;545;137;13312140.01402 ns;
615;93;24;13308810.07016 ns;
616;642;163;13322064.18738 ns;
617;726;176;13338676.65380 ns;
618;564;141;13341224.75237 ns;
619;553;139;13347951.22966 ns;
620;257;63;13367211.91183 ns;
621;686;171;13440188.02047 ns;
622;204;49;13382435.77629 ns;
623;236;58;13291276.06004 ns;
624;523;132;13287459.96580 ns;
625;219;53;13261181.76803 ns;
626;752;186;13318845.07090 ns;
627;601;150;13304616.79026 ns;
628;616;154;13283739.33211 ns;
629;644;157;13370458.03666 ns;
630;97;26;13311244.08171 ns;
631;279;66;13280399.14370 ns;
632;300;71;13210179.28421 ns;
633;201;50;13131049.92732 ns;
634;11;3;13343696.01682 ns;
635;401;104;13220482.97152 ns;
636;166;42;13248922.30332 ns;
637;607;155;13125932.30978 ns;
638;223;57;13173095.88194 ns;
639;403;100;13148265.89078 ns;
640;376;88;13128913.93900 ns;
641;610;155;13152145.78062 ns;
642;181;48;13141559.43692 ns;
643;76;17;13168820.18000 ns;
644;127;31;13133482.07623 ns;
645;644;161;13142107.98591 ns;
646;362;86;13133885.80456 ns;
647;516;129;13144311.02946 ns;
648;724;171;13153449.16657 ns;
649;756;189;13134355.19114 ns;
650;148;34;13141063.97331 ns;
651;519;128;13211587.90961 ns;
652;276;66;13154109.00861 ns;
653;578;141;13143524.06189 ns;
654;662;157;13149931.09554 ns;
655;382;100;13234116.13703 ns;
656;180;45;13205504.97621 ns;
657;24;7;13149565.08577 ns;
658;202;48;13264046.98193 ns;
659;68;18;13175456.78467 ns;
660;750;184;13177657.03425 ns;
661;99;26;13172074.22107 ns;
662;548;132;13198232.27823 ns;
663;730;184;13129772.15275 ns;
664;400;99;13327434.65900 ns;
665;26;7;13227527.02981 ns;
666;619;151;14421356.84192 ns;
667;659;168;13189520.68686 ns;
668;401;94;13252913.95187 ns;
669;68;18;13255390.80426 ns;
670;215;52;13151919.93490 ns;
671;291;74;13188314.62413 ns;
672;411;102;13184955.80927 ns;
673;78;18;13256879.98906 ns;
674;765;189;13173801.35879 ns;
675;640;156;13174757.36141 ns;
676;234;59;13157481.32765 ns;
677;234;54;13172568.75336 ns;
678;368;88;13181071.72847 ns;
679;628;159;13173187.15155 ns;
680;690;165;13225037.13891 ns;
681;40;10;13560466.93400 ns;
682;414;107;13288369.86795 ns;
683;641;160;13173440.93695 ns;
684;171;41;13153507.83989 ns;
685;123;30;13970317.31904 ns;
686;297;73;13509101.23438 ns;
687;119;27;13368274.08522 ns;
688;458;115;13230366.63234 ns;
689;477;117;13201101.21742 ns;
690;630;148;13499055.98909 ns;
691;101;26;13531823.64255 ns;
692;26;5;13552148.82642 ns;
693;449;114;13468032.70280 ns;
694;164;40;13297526.16584 ns;
695;24;7;13494429.17854 ns;
696;651;165;13212576.97418 ns;
697;687;177;13232808.09447 ns;
698;221;57;13269008.13729 ns;
699;650;164;13188675.97729 ns;
700;577;151;13232505.41463 ns;
701;307;77;13297401.83428 ns;
702;443;110;13287821.31895 ns;
703;666;163;13210299.89049 ns;
704;376;92;13194469.73503 ns;
705;568;144;13190818.95053 ns;
706;679;164;13232866.30213 ns;
707;557;140;13240838.42337 ns;
708;353;89;13351432.04778 ns;
709;366;88;13254002.20230 ns;
710;202;50;13249752.11173 ns;
711;316;74;13495087.62360 ns;
712;242;61;13180545.99687 ns;
713;750;187;13178152.03220 ns;
714;721;184;13178652.61808 ns;
715;448;112;13196364.04514 ns;
716;700;173;13220533.72860 ns;
717;557;139;13222091.83127 ns;
718;194;48;13133977.07418 ns;
719;662;165;13181163.92940 ns;
720;733;183;13174302.41033 ns;
721;719;171;13162083.92382 ns;
722;342;87;13279330.91670 ns;
723;717;184;13155330.43817 ns;
724;541;135;13221371.91892 ns;
725;364;87;13137506.78673 ns;
726;292;75;13135913.75947 ns;
727;519;134;13153534.84824 ns;
728;570;146;13214661.27411 ns;
729;594;147;13154780.02653 ns;
730;201;49;13155041.26251 ns;
731;260;65;13217296.91699 ns;
732;617;154;13134342.15263 ns;
733;464;121;13156093.19136 ns;
734;4;1;13160354.92346 ns;
735;19;4;13134623.87770 ns;
736;360;92;13133021.07155 ns;
737;328;79;13148298.95273 ns;
738;567;139;13176153.87961 ns;
739;243;62;14332817.86740 ns;
740;92;21;13133969.15793 ns;
741;667;170;13298199.97773 ns;
742;90;20;13316058.08809 ns;
743;342;84;13199173.37969 ns;
744;153;36;13136950.78716 ns;
745;424;105;13174502.17903 ns;
746;326;83;13259062.07785 ns;
747;338;86;13172153.84915 ns;
748;187;49;13176424.89448 ns;
749;44;11;13175280.76470 ns;
750;111;27;13138545.21140 ns;
751;683;177;13177569.02426 ns;
752;662;165;13322136.83054 ns;
753;569;141;13217701.11099 ns;
754;117;30;13174569.23425 ns;
755;520;128;13310033.82802 ns;
756;30;7;13175664.93526 ns;
757;6;2;13144453.05616 ns;
758;504;124;13173122.89029 ns;
759;699;170;13196684.88577 ns;
760;598;149;13219237.32758 ns;
761;431;109;13223866.00077 ns;
762;542;134;13176823.03488 ns;
763;6;1;13139715.88388 ns;
764;789;189;13170962.68758 ns;
765;111;28;13177026.99453 ns;
766;181;47;13174805.79019 ns;
767;320;81;13200639.28142 ns;
768;29;7;13213600.96335 ns;
769;398;90;13201516.12163 ns;
770;130;32;13146468.90387 ns;
771;299;74;13150053.09880 ns;
772;221;57;13142656.06925 ns;
773;755;179;13133672.99736 ns;
774;499;131;13134113.04727 ns;
775;496;127;13192913.96067 ns;
776;669;169;13136107.94023 ns;
777;649;158;13135547.28404 ns;
778;625;150;13140081.89365 ns;
779;319;80;13192601.96760 ns;
780;596;147;13142440.00241 ns;
781;249;62;13298647.94388 ns;
782;565;140;13186520.89685 ns;
783;547;140;13176109.17613 ns;
784;392;97;13134556.35682 ns;
785;403;104;13444778.97510 ns;
786;678;173;13186753.26183 ns;
787;353;86;13140828.81436 ns;
788;437;102;13134600.12898 ns;
789;420;100;13135403.39470 ns;
790;752;182;13229123.78237 ns;
791;483;121;13137622.27073 ns;
792;187;47;13133165.89221 ns;
793;612;152;13139218.09196 ns;
794;46;12;13144558.76127 ns;
795;715;186;13133504.89363 ns;
796;697;174;13134561.01343 ns;
797;16;3;13214375.35807 ns;
798;673;170;13139164.07526 ns;
799;415;102;13132907.91586 ns;
800;630;153;13138178.27031 ns;
801;148;37;13151391.87500 ns;
802;214;60;13262487.01662 ns;
803;71;18;13135259.03970 ns;
804;682;171;13132834.80704 ns;
805;746;188;13213985.59958 ns;
806;588;154;13138797.13416 ns;
807;83;24;13241147.15680 ns;
808;193;47;13140155.00247 ns;
809;164;40;13135986.86829 ns;
810;629;158;13283500.91353 ns;
811;699;176;13134981.97123 ns;
812;512;131;13290829.02521 ns;
813;301;71;14259056.65383 ns;
814;375;100;13156381.90135 ns;
815;174;45;13194235.97306 ns;
816;0;0;13151162.30398 ns;
817;538;129;13138004.11299 ns;
818;619;157;13136808.29480 ns;
819;268;75;13239162.97406 ns;
