ID;HW;LENGTH;TIME;
16881;295;76;13124798.42454;
16882;687;170;13119501.99306;
16883;667;163;13121230.52776;
16884;217;53;13110202.73715;
16885;375;98;13121138.32682;
16886;197;50;13113130.81533;
16887;643;157;13137492.35123;
16888;235;56;13113547.11652;
16889;603;152;13119955.54715;
16890;575;140;13121672.90598;
16891;673;163;13125700.87612;
16892;304;76;13120738.78944;
16893;71;19;13119638.89748;
16894;186;46;13121571.39182;
16895;477;116;13146209.53053;
16896;30;7;13121747.41179;
16897;651;160;13116256.33389;
16898;563;140;13119553.21580;
16899;38;9;13122832.40259;
16900;313;81;13113337.56894;
16901;495;121;13113642.11142;
16902;99;24;13111814.85653;
16903;316;77;13124527.40967;
16904;74;20;13115664.94405;
16905;550;132;13125634.75221;
16906;481;128;13120150.19357;
16907;675;168;13121563.00992;
16908;284;72;13129570.52141;
16909;670;161;13120217.24880;
16910;661;164;13121649.62292;
16911;734;182;13115476.81689;
16912;127;32;13109869.32367;
16913;261;62;13113273.30768;
16914;629;160;13110641.39009;
16915;34;9;13121546.24611;
16916;607;152;13110851.86899;
16917;407;100;13120810.50128;
16918;137;32;13112356.88627;
16919;357;94;13117451.22075;
16920;474;114;13116543.18124;
16921;553;137;13124869.20506;
16922;634;156;13111217.87876;
16923;665;167;13121824.71156;
16924;519;131;13122874.31210;
16925;639;167;13122061.26750;
16926;221;54;13112686.57446;
16927;3;1;13119141.57122;
16928;643;157;13112702.40694;
16929;121;30;13110846.28105;
16930;548;130;13123248.70378;
16931;380;96;13109970.83783;
16932;117;28;13111449.77808;
16933;677;175;13120427.72770;
16934;112;28;13115726.41134;
16935;405;95;13114598.57970;
16936;684;179;13113504.27568;
16937;540;133;13124948.36748;
16938;293;73;13122089.20717;
16939;292;76;13121116.90640;
16940;566;134;13119165.78561;
16941;504;125;13117249.12375;
16942;255;65;13123305.51445;
16943;347;86;13118068.68762;
16944;730;183;13115162.02986;
16945;237;63;13113402.76152;
16946;571;142;13119841.92580;
16947;589;149;13125136.49464;
16948;535;132;13121401.89111;
16949;391;108;13117860.07136;
16950;690;172;13124112.03980;
16951;661;169;13126477.59914;
16952;142;35;13123012.14784;
16953;564;140;13124453.83519;
16954;279;70;13119719.92254;
16955;481;114;13116413.72740;
16956;199;49;13110792.26434;
16957;563;148;13113150.37310;
16958;666;168;13120361.60380;
16959;390;102;13118579.98371;
16960;109;27;13112917.54246;
16961;407;103;13127842.91804;
16962;61;16;13117847.96417;
16963;194;51;13115412.55563;
16964;274;64;13114567.84606;
16965;325;83;13115987.18166;
16966;716;176;13121603.98811;
16967;668;161;13120104.55877;
16968;621;151;13115778.56541;
16969;31;6;13118533.41758;
16970;491;122;13119439.59445;
16971;491;120;13113503.34436;
16972;628;160;13112469.57630;
16973;219;56;13116018.84663;
16974;81;23;13110811.82212;
16975;12;4;13123128.56317;
16976;611;149;13111421.83840;
16977;508;134;13123473.15252;
16978;490;123;13124232.18042;
16979;691;173;13126911.59546;
16980;544;140;13122519.47820;
16981;280;69;13130951.67279;
16982;227;60;13112677.26123;
16983;495;123;13117024.67501;
16984;238;59;13112269.34195;
16985;692;172;13123034.49959;
16986;725;182;13114145.02561;
16987;448;116;13116142.71253;
16988;676;168;13119521.55083;
16989;404;104;13122143.22388;
16990;446;107;13126178.64460;
16991;45;12;13138814.82929;
16992;494;123;13116737.82766;
16993;565;132;13123032.63694;
16994;626;156;13116401.62021;
16995;141;35;13121616.09530;
16996;200;50;13113587.16339;
16997;39;12;13120738.78944;
16998;555;143;13122468.25546;
16999;779;187;13117090.79891;
17000;570;142;13122165.57562;
17001;708;180;13112747.11043;
17002;455;107;13122064.99279;
17003;423;104;13118566.94520;
17004;204;50;13112492.85936;
17005;239;60;13111107.05137;
17006;92;26;13134277.42571;
17007;212;54;13111895.88159;
17008;660;159;13110448.60631;
17009;417;96;13115328.73660;
17010;677;167;13119864.27754;
17011;739;186;13113317.07984;
17012;38;11;13121896.42340;
17013;549;137;13123326.00355;
17014;117;30;13112039.30527;
17015;16;5;13123666.86761;
17016;438;119;13115546.66609;
17017;17;4;13123091.31026;
17018;56;14;13119962.99773;
17019;574;146;13111599.72101;
17020;332;82;13123405.16597;
17021;330;80;13120837.50963;
17022;401;102;13116538.52463;
17023;641;157;13111037.20218;
17024;249;63;13112802.98978;
17025;710;181;13113850.72768;
17026;130;37;13120980.93331;
17027;334;91;13113108.46359;
17028;279;70;13124662.45145;
17029;183;47;13121608.64472;
17030;392;102;13123106.21142;
17031;262;65;13122456.14827;
17032;484;115;13115542.00947;
17033;656;161;13122596.77798;
17034;599;148;13112562.70856;
17035;98;26;13136174.52979;
17036;639;166;13122200.03456;
17037;347;87;13115331.53057;
17038;162;37;13123287.81933;
17039;251;64;13113191.35129;
17040;100;23;13112069.10759;
17041;69;17;13111567.12472;
17042;515;132;13120080.34438;
17043;399;101;13168047.18226;
17044;54;14;13117059.13395;
17045;4;2;13119730.16709;
17046;78;22;13113152.23575;
17047;528;137;13126195.40840;
17048;29;8;13121364.63821;
17049;584;140;13122146.94917;
17050;345;85;13121341.35514;
17051;69;16;13122594.91533;
17052;325;86;13112031.85469;
17053;465;111;13120630.75602;
17054;383;101;13125085.27189;
17055;261;64;13114520.34861;
17056;149;37;13120482.67573;
17057;120;30;13109767.80951;
17058;256;64;13110971.07828;
17059;254;62;13113066.55407;
17060;534;132;13125726.02183;
17061;715;181;13116881.25134;
17062;358;90;13122307.13665;
17063;433;111;13123452.66342;
17064;599;152;13111740.35072;
17065;3;1;13120440.76622;
17066;372;95;13115477.74822;
