ID;HW;LENGTH;TIME;
12942;693;177;13173944.31680;
12943;699;179;13176681.93951;
12944;287;72;13191585.89467;
12945;635;161;13190740.25378;
12946;562;138;13146752.02593;
12947;500;131;13194533.06496;
12948;241;59;13185759.07499;
12949;306;78;13227524.23584;
12950;687;172;13186248.01934;
12951;432;111;13293199.70682;
12952;16;4;13204160.14642;
12953;749;187;13213374.65197;
12954;403;94;13152719.94099;
12955;78;19;13220447.58126;
12956;507;123;13348438.77703;
12957;105;26;13175060.04125;
12958;617;156;13186347.67085;
12959;12;3;13187464.32662;
12960;180;43;13145077.04228;
12961;82;21;13153244.74126;
12962;611;150;13197891.87983;
12963;251;58;13231229.96837;
12964;648;162;13241072.18534;
12965;178;43;13263927.30698;
12966;642;155;13177196.96090;
12967;443;110;13143094.25652;
12968;181;44;13189046.17801;
12969;522;131;13241166.24892;
12970;326;81;13186110.18360;
12971;303;75;13234236.27764;
12972;68;19;13172402.97794;
12973;240;61;13137513.30599;
12974;591;145;13181563.93245;
12975;768;187;13173485.17478;
12976;559;141;13184342.99901;
12977;23;5;13189831.28294;
12978;36;11;13314185.19840;
12979;330;80;13231750.11203;
12980;445;112;13270663.09750;
12981;313;79;13158315.79268;
12982;589;151;13155328.10986;
12983;472;120;13133349.82842;
12984;17;4;13206056.78484;
12985;259;63;13314956.79915;
12986;510;129;13164398.72608;
12987;544;139;13159396.12687;
12988;720;178;13148586.73140;
12989;755;184;13139461.63282;
12990;745;186;13149867.29994;
12991;381;100;13241829.81625;
12992;523;124;13298301.95755;
12993;288;76;13324941.97413;
12994;239;56;13144646.77125;
12995;695;173;13148497.79010;
12996;550;140;13154151.84945;
12997;256;63;13246990.74030;
12998;80;20;13204405.54991;
12999;278;72;13151316.90353;
13000;236;53;13218841.98114;
13001;199;52;13180990.23774;
13002;291;72;13188555.83668;
13003;653;158;13201527.29750;
13004;272;71;13195117.93554;
13005;134;35;13214807.95741;
13006;116;29;13164205.01098;
13007;749;181;13189482.96830;
13008;81;20;13168300.96766;
13009;472;116;13167741.70846;
13010;192;44;13190210.79689;
13011;605;151;13170069.08357;
13012;442;113;13130404.05512;
13013;301;79;13192007.78380;
13014;512;128;13182214.92693;
13015;721;183;13269928.28399;
13016;215;55;13168299.10502;
13017;650;163;13187747.91434;
13018;223;57;13216196.55937;
13019;395;104;13184692.24498;
13020;47;14;13202097.73257;
13021;631;163;13184514.82803;
13022;54;11;13216113.20600;
13023;429;103;13185928.11003;
13024;761;185;13175596.01739;
13025;257;66;13145487.28988;
13026;400;104;13143945.01969;
13027;648;167;13141345.23273;
13028;139;34;13147745.28146;
13029;475;121;13183570.00127;
13030;720;189;13133361.00429;
13031;247;63;13131381.01250;
13032;372;91;13134699.78049;
13033;529;128;13128528.83711;
13034;65;17;13153701.08932;
13035;232;55;13130176.81241;
13036;146;36;13145241.88638;
13037;369;97;13185061.98004;
13038;0;0;13249819.63262;
13039;276;77;13264548.03348;
13040;684;176;13206837.69882;
13041;347;95;13170497.95762;
13042;210;48;13186933.93841;
13043;637;158;13134762.17911;
13044;152;38;13322081.88251;
13045;605;151;13171348.72079;
13046;501;128;13172643.25917;
13047;618;162;13192080.89262;
13048;660;166;13185611.92602;
13049;245;61;13173373.88173;
13050;567;142;13149075.21009;
13051;402;107;13394567.18415;
13052;574;151;13184716.92502;
13053;144;33;13194781.26243;
13054;123;29;13179340.39980;
13055;69;17;13175401.83663;
13056;326;78;13145533.85600;
13057;597;154;13179136.90582;
13058;468;125;13179545.75643;
13059;418;105;13239592.31377;
13060;73;19;13173644.89660;
13061;178;45;13189287.39056;
13062;648;160;13134667.18420;
13063;465;110;13161084.14903;
13064;717;177;13174295.89108;
13065;629;163;13409193.13952;
13066;241;58;13322427.86884;
13067;54;12;13226651.12093;
13068;168;46;13145182.28173;
13069;583;144;13200876.76868;
13070;564;142;13197988.73737;
13071;190;45;13193850.87118;
13072;369;94;13159787.74801;
13073;118;29;13211446.81424;
13074;83;20;13147301.97191;
13075;159;42;13148397.20726;
13076;609;154;13156500.17932;
13077;460;112;13255401.98013;
13078;356;92;13203812.29743;
13079;244;57;13242661.95297;
13080;547;135;13178528.75218;
13081;444;117;13165874.87236;
13082;446;111;13171780.38880;
13083;227;58;13160546.77591;
13084;277;72;13178317.80761;
13085;523;138;13173390.17987;
13086;287;69;13194306.75358;
13087;99;24;13145840.72679;
13088;634;156;13181807.93896;
13089;463;114;13159743.97585;
13090;241;60;13162053.65583;
13091;317;77;13221850.15306;
13092;255;65;13162515.12617;
13093;303;72;13145892.41520;
13094;552;130;13143657.70668;
13095;644;159;13143708.92942;
13096;198;51;13130786.36304;
13097;78;20;13131300.91876;
13098;355;85;13170572.92908;
13099;206;52;13134107.92500;
13100;358;87;13132228.05038;
13101;386;95;13132558.66989;
13102;622;158;13130234.08875;
13103;350;93;13260026.92804;
13104;735;188;13127062.93538;
13105;749;185;13132615.01491;
13106;521;133;13143066.31684;
13107;741;186;13171087.95047;
13108;25;8;13147451.91485;
13109;217;52;13164006.17361;
13110;655;169;13211085.92674;
13111;106;30;13193809.89298;
13112;252;67;13203250.24426;
13113;621;160;13131253.88697;
13114;267;68;13149793.25980;
13115;537;140;13145178.09078;
13116;693;175;13142750.13283;
