ID;HW;TIME
212;271;1516918.65176 ns;
213;249;1519667.91600 ns;
214;255;1520728.69241 ns;
215;254;1635468.56493 ns;
216;256;1532698.98146 ns;
217;256;1527172.51331 ns;
218;261;1519517.04174 ns;
219;248;1544934.69745 ns;
220;262;1525843.51599 ns;
221;265;1526768.31931 ns;
222;264;1538026.14659 ns;
223;256;1527511.51472 ns;
224;252;1518483.27368 ns;
225;253;1640793.86741 ns;
226;238;1500274.05471 ns;
227;268;1508395.18756 ns;
228;248;1476060.59909 ns;
229;251;1475824.97448 ns;
230;252;1474340.44629 ns;
231;268;1494928.26313 ns;
232;260;1556629.31502 ns;
233;250;1497783.69814 ns;
234;255;1483164.72769 ns;
235;269;1493822.78323 ns;
236;259;1475547.44035 ns;
237;259;1476921.14115 ns;
238;250;1474880.61339 ns;
239;255;1557143.40508 ns;
240;258;1480013.13210 ns;
241;273;1474293.88016 ns;
242;231;1484745.18210 ns;
243;243;1477091.57318 ns;
244;268;1504517.16036 ns;
245;255;1511650.15996 ns;
246;259;1598015.42759 ns;
247;273;1477087.84789 ns;
248;266;1494360.15636 ns;
249;267;1484728.41829 ns;
250;274;1477141.86460 ns;
251;234;1499650.99990 ns;
252;254;1480810.34422 ns;
253;257;1552091.91144 ns;
254;259;1493813.47001 ns;
255;267;1474662.68390 ns;
256;265;1502239.14534 ns;
257;260;1516537.74083 ns;
258;256;1574094.40726 ns;
259;256;1472559.75753 ns;
260;247;1476290.63576 ns;
261;256;1510922.79702 ns;
262;252;1486363.82073 ns;
263;254;1501790.24786 ns;
264;250;1481217.33218 ns;
265;250;1480256.20729 ns;
266;261;1475007.27326 ns;
267;260;1474552.78784 ns;
268;254;1471487.80525 ns;
269;245;1475390.97816 ns;
270;268;1508547.92446 ns;
271;231;1480929.55351 ns;
272;248;1473831.01285 ns;
273;256;1475244.76051 ns;
274;259;1474314.36926 ns;
275;267;1475743.01809 ns;
276;266;1475477.59116 ns;
277;258;1481858.08212 ns;
278;271;1481172.62870 ns;
279;248;1478403.80669 ns;
280;248;1477326.26647 ns;
281;247;1497647.72505 ns;
282;246;1474794.93171 ns;
283;259;1480961.21848 ns;
284;249;1481801.27144 ns;
285;262;1523341.05223 ns;
286;257;1511326.05970 ns;
287;264;1511652.95392 ns;
288;238;1514465.54810 ns;
289;267;1518161.96740 ns;
290;247;1518080.94233 ns;
291;250;1512912.10204 ns;
292;245;1531984.65705 ns;
293;250;1478256.65772 ns;
294;262;1498182.30420 ns;
295;258;1519607.38003 ns;
296;251;1510072.49951 ns;
297;265;1474134.62400 ns;
298;260;1485919.57986 ns;
299;274;1493984.83336 ns;
