ID;HW;LENGTH;TIME
4071;1000;13277768.15742 ns;
4072;1031;13173673.76760 ns;
4073;1034;13121586.75864 ns;
4074;1046;13124573.97580 ns;
4075;1016;13314031.99583 ns;
4076;1008;13138436.24666 ns;
4077;1030;13135497.92394 ns;
4078;1027;13139906.33935 ns;
4079;995;13121611.90435 ns;
4080;1032;13187892.73500 ns;
4081;1026;13156596.10555 ns;
4082;1021;13119711.07498 ns;
4083;1052;13136710.97159 ns;
4084;1031;13139217.62630 ns;
4085;1033;13250499.03244 ns;
4086;1050;13279917.64992 ns;
4087;1028;13162389.86328 ns;
4088;1011;13119802.81025 ns;
4089;1045;13182358.81627 ns;
4090;1027;13313508.12688 ns;
4091;1012;13121811.20738 ns;
4092;1050;13119466.13714 ns;
4093;1017;13159620.10995 ns;
4094;1036;13159884.13990 ns;
4095;1048;13160954.69519 ns;
4096;1007;13142501.93536 ns;
4097;1048;13122680.13135 ns;
4098;1076;13155352.78991 ns;
4099;1060;13121342.75213 ns;
4100;1044;13120802.11937 ns;
4101;1070;13261231.12813 ns;
4102;1035;13282961.21210 ns;
4103;1083;13119813.98612 ns;
4104;1053;13199795.96883 ns;
4105;1024;13147736.89955 ns;
4106;1050;13162997.08560 ns;
4107;980;13121102.93657 ns;
4108;1036;13179821.89357 ns;
4109;1009;13169180.13617 ns;
4110;1023;13162993.82597 ns;
4111;995;13244277.79764 ns;
4112;1061;13197117.95077 ns;
4113;993;13199550.09967 ns;
4114;1068;13207092.88120 ns;
4115;1050;13161140.02839 ns;
4116;1040;13197657.18654 ns;
4117;1055;13163077.17934 ns;
4118;999;13159437.10506 ns;
4119;1021;13120695.94860 ns;
4120;1059;13143747.11365 ns;
4121;1027;13121352.99668 ns;
4122;1032;13352937.06506 ns;
4123;954;13162619.89996 ns;
4124;1025;13122559.05941 ns;
4125;1025;13240720.14540 ns;
4126;996;13122615.87009 ns;
4127;1022;13182021.21183 ns;
4128;1048;13156742.32319 ns;
4129;1051;13162422.92523 ns;
4130;1034;13296038.37803 ns;
4131;996;13238308.01994 ns;
4132;1041;13159818.94732 ns;
4133;1040;13141178.99165 ns;
4134;1044;13162804.76749 ns;
4135;1017;13259316.32891 ns;
4136;1055;13121478.25956 ns;
4137;1027;13120794.66879 ns;
4138;990;13200669.08374 ns;
4139;1057;13141999.95250 ns;
4140;1035;13138102.83318 ns;
4141;1043;13201285.15363 ns;
4142;999;13121592.81224 ns;
4143;1020;13121539.72685 ns;
4144;1015;13162359.12964 ns;
4145;1023;13120614.92354 ns;
4146;978;13266840.94965 ns;
4147;1040;13122088.27585 ns;
4148;1024;13180844.95142 ns;
4149;1034;13145735.02168 ns;
4150;1029;13119710.60932 ns;
4151;1015;13125176.07585 ns;
4152;1026;13159822.67261 ns;
4153;1000;13198524.24785 ns;
4154;1057;13182960.91631 ns;
4155;1021;13145123.14275 ns;
4156;1062;13290657.66186 ns;
4157;992;13140773.86633 ns;
4158;1011;13268618.84445 ns;
4159;1053;13142259.79149 ns;
4160;1078;13125520.19954 ns;
4161;1033;13139599.93422 ns;
4162;1086;13161757.96092 ns;
4163;1027;13249148.14904 ns;
4164;1042;13198920.05995 ns;
4165;1009;13197632.97215 ns;
4166;990;13289839.02931 ns;
4167;1022;13193333.98715 ns;
4168;1010;13241088.01782 ns;
4169;982;13433590.06569 ns;
4170;992;13292848.59821 ns;
4171;997;13281026.85511 ns;
4172;1072;13123873.15556 ns;
4173;985;13211084.06410 ns;
4174;1006;13368459.88408 ns;
4175;1022;13248036.14989 ns;
4176;1006;13387067.24346 ns;
4177;1044;13325224.16487 ns;
4178;1019;13450936.87996 ns;
4179;1000;13120729.01055 ns;
4180;950;13162308.83822 ns;
4181;1049;13122052.88559 ns;
4182;1007;13121203.98507 ns;
4183;975;13120013.75481 ns;
4184;1025;13784570.15380 ns;
4185;1016;13261729.38570 ns;
4186;1058;13125463.85452 ns;
4187;1004;13144043.27422 ns;
4188;1025;13137720.05960 ns;
4189;1048;13147120.36401 ns;
4190;1069;13183054.97989 ns;
4191;1005;13178025.83799 ns;
4192;1000;13119566.25432 ns;
4193;998;13422539.92334 ns;
4194;1022;13225601.98605 ns;
4195;1059;13147161.80786 ns;
4196;1006;13283540.02908 ns;
4197;1033;13142191.80495 ns;
4198;1086;13160394.97033 ns;
4199;1029;13286040.16453 ns;
4200;1036;13139475.60266 ns;
4201;1021;13162785.20972 ns;
4202;1025;13163414.78378 ns;
4203;1073;13153516.68745 ns;
4204;1064;13163355.17913 ns;
4205;1044;13185150.45568 ns;
4206;1003;13283052.01605 ns;
4207;1025;13187435.92128 ns;
4208;1018;13120469.63722 ns;
4209;1041;13159573.07816 ns;
4210;1014;13258264.86573 ns;
4211;1076;13177930.84309 ns;
4212;1026;13262254.18597 ns;
4213;996;13161197.77039 ns;
4214;1013;13627639.04035 ns;
4215;1035;13198221.10236 ns;
4216;1048;13159138.61617 ns;
4217;1007;13169132.63872 ns;
4218;1008;13136852.06696 ns;
4219;1020;13122729.95710 ns;
4220;1059;13122475.24038 ns;
4221;1041;13142416.25369 ns;
4222;1024;13201182.24248 ns;
4223;1056;13228767.08582 ns;
4224;1020;13220516.96479 ns;
4225;983;13160229.19491 ns;
4226;1005;13143764.80877 ns;
4227;1021;13143284.71199 ns;
4228;1031;13119267.76543 ns;
4229;1062;13411652.76244 ns;
4230;1038;13164004.77663 ns;
4231;1029;13167580.12399 ns;
4232;998;13137231.11525 ns;
4233;1021;13122726.23181 ns;
4234;1009;13199455.10477 ns;
4235;990;13285986.14782 ns;
4236;1020;13181142.97464 ns;
4237;1042;13257310.72575 ns;
4238;1058;13163276.94803 ns;
4239;1042;13157344.88890 ns;
4240;1032;13246324.84466 ns;
4241;1019;13161330.94952 ns;
4242;1037;13123216.10749 ns;
4243;992;13146287.76163 ns;
4244;991;13146088.92426 ns;
4245;1061;13199282.81009 ns;
4246;1033;13137046.24772 ns;
4247;1035;13183251.95462 ns;
4248;1006;13122525.99746 ns;
4249;1028;13124011.92263 ns;
4250;995;13176446.78056 ns;
4251;1031;13124102.72658 ns;
4252;1025;13141924.98103 ns;
4253;1033;13160213.36243 ns;
4254;1044;13175767.84641 ns;
4255;995;13540897.98406 ns;
4256;1038;13144315.68608 ns;
4257;1039;13125244.06239 ns;
4258;995;13180577.66184 ns;
4259;1051;13122661.03923 ns;
4260;1039;13122728.09446 ns;
4261;1044;13289219.69980 ns;
4262;1029;13161321.17063 ns;
4263;1005;13118162.75120 ns;
4264;1012;13121882.91922 ns;
4265;1063;13449246.99515 ns;
4266;1021;13445255.81226 ns;
4267;950;13178365.77073 ns;
4268;994;13211279.17618 ns;
4269;987;13174965.04635 ns;
4270;980;13179563.91722 ns;
4271;1001;13159221.96954 ns;
4272;1041;13213744.85269 ns;
4273;1082;13182463.59006 ns;
4274;988;13163216.87773 ns;
4275;1010;13121307.82753 ns;
4276;1001;13264394.83091 ns;
4277;1020;13356180.86159 ns;
4278;1032;13305000.96083 ns;
4279;995;13122624.71765 ns;
4280;1016;13153543.69581 ns;
4281;1011;13204049.78469 ns;
4282;1021;13123171.86967 ns;
4283;1035;13144621.62554 ns;
4284;971;13120035.17523 ns;
4285;1018;13149315.02566 ns;
4286;1058;13121542.05516 ns;
4287;1073;13142921.03052 ns;
4288;1014;13299163.89659 ns;
4289;997;13145916.16392 ns;
4290;956;13198986.64951 ns;
4291;1010;13290186.87829 ns;
4292;1013;13122153.93409 ns;
4293;1045;13244150.20645 ns;
4294;1069;13188740.23855 ns;
4295;1041;13124800.28719 ns;
4296;1045;13280766.08479 ns;
4297;1001;13178242.83615 ns;
4298;1033;13182524.12602 ns;
4299;1012;13187848.96284 ns;
4300;1051;13159708.11993 ns;
4301;1033;13186655.93863 ns;
4302;1044;13179745.99078 ns;
4303;1016;13122813.77614 ns;
4304;1011;13207401.61464 ns;
4305;1041;13158053.15971 ns;
4306;1012;13162595.68557 ns;
4307;991;13123737.18247 ns;
4308;977;13141117.05869 ns;
4309;1024;13152842.87557 ns;
4310;1018;13269309.88580 ns;
4311;1040;13145151.08243 ns;
4312;981;13141340.57611 ns;
4313;1000;13121385.12731 ns;
4314;1017;13162444.34565 ns;
4315;1037;13413330.07440 ns;
4316;1003;13156102.03892 ns;
4317;1017;13181325.04821 ns;
4318;995;13121899.68303 ns;
4319;1051;13121324.12568 ns;
4320;1002;13147322.92667 ns;
4321;1057;13166096.99279 ns;
4322;1026;13146399.98600 ns;
4323;1044;13124702.03266 ns;
4324;1080;13163167.98329 ns;
4325;992;13141941.27917 ns;
4326;1047;13119075.91298 ns;
4327;1030;13158676.21452 ns;
4328;1044;13181037.26953 ns;
4329;1027;13162452.72756 ns;
4330;1034;13275573.96144 ns;
4331;1024;13181342.27768 ns;
4332;997;13143458.86931 ns;
4333;1034;13120848.21984 ns;
4334;1016;13207376.93459 ns;
4335;979;13180323.87644 ns;
4336;999;13163099.06542 ns;
4337;993;13183333.91100 ns;
4338;1047;13170214.83555 ns;
4339;1004;13297661.67328 ns;
4340;1049;13117454.94604 ns;
4341;995;13163773.80863 ns;
4342;995;13153561.85660 ns;
4343;1046;13201772.70100 ns;
4344;1012;13157442.67777 ns;
4345;1027;13144239.31763 ns;
4346;1018;13284998.94589 ns;
4347;1017;13181104.32476 ns;
4348;988;13200994.11532 ns;
4349;1022;13234308.92080 ns;
4350;1017;13204589.02046 ns;
4351;999;13236903.11983 ns;
4352;1031;13206442.35238 ns;
4353;1004;13727889.86191 ns;
4354;1062;13309868.05260 ns;
4355;1038;13247501.10507 ns;
4356;1021;13121842.87235 ns;
4357;1035;13141279.57448 ns;
4358;1016;13117887.07972 ns;
4359;1022;13122002.12851 ns;
4360;1050;13163389.63807 ns;
4361;1033;13269045.85585 ns;
4362;1001;13162571.00552 ns;
4363;1065;13123116.92163 ns;
4364;1011;13121360.91292 ns;
4365;1044;13122308.99930 ns;
4366;1029;13158490.88132 ns;
4367;1014;13252921.86812 ns;
4368;1040;13200844.17239 ns;
4369;1052;13150298.96796 ns;
4370;1040;13140107.03936 ns;
4371;1101;13200627.63989 ns;
4372;1017;13162157.96396 ns;
4373;1045;13151145.07452 ns;
4374;998;13203784.35776 ns;
4375;996;13162299.05933 ns;
4376;1055;13334552.29178 ns;
4377;1006;13122196.77493 ns;
4378;1000;13118376.95539 ns;
4379;1009;13180900.36511 ns;
4380;1006;13157766.77802 ns;
4381;1037;13120627.96205 ns;
4382;1039;13222700.91623 ns;
4383;1037;13123238.92489 ns;
4384;1044;13124953.02409 ns;
4385;1059;13181503.86214 ns;
4386;1063;13161235.02329 ns;
4387;966;13158976.10039 ns;
4388;1024;13210813.98055 ns;
4389;1053;13268921.98995 ns;
4390;988;13197347.98744 ns;
4391;1026;13254271.35453 ns;
4392;1058;13241716.19490 ns;
4393;1002;13294935.22644 ns;
4394;977;13143512.88602 ns;
4395;1031;13229571.28286 ns;
4396;1057;13314390.08936 ns;
4397;1030;13545848.89486 ns;
4398;993;13529194.98459 ns;
4399;1021;13272129.93056 ns;
4400;1030;13222892.76868 ns;
4401;1040;13231151.27161 ns;
4402;1078;13183617.03306 ns;
4403;1030;13527254.10834 ns;
4404;982;13262738.93937 ns;
4405;1038;13405791.94948 ns;
4406;1043;13124270.36464 ns;
4407;1026;13172128.23778 ns;
4408;998;13217946.98015 ns;
4409;1035;13268867.04192 ns;
4410;1032;13176754.11701 ns;
4411;1061;13123023.78938 ns;
4412;1031;13149756.00690 ns;
4413;1034;13137808.53525 ns;
4414;1006;13223256.91581 ns;
4415;988;13227471.15046 ns;
4416;1016;13120824.93678 ns;
4417;1045;13142551.29546 ns;
4418;1057;13161615.00290 ns;
4419;1069;13164742.84977 ns;
4420;1035;13160015.92204 ns;
4421;1042;13166187.79674 ns;
4422;1009;13122495.26381 ns;
4423;996;13198190.36871 ns;
4424;1016;13207005.33688 ns;
4425;1013;13236735.01611 ns;
4426;1072;13133840.16976 ns;
4427;989;13201298.19214 ns;
4428;990;13120507.82144 ns;
4429;987;13122119.94082 ns;
4430;1024;13125382.36380 ns;
4431;1011;13119843.78844 ns;
4432;1050;13300328.04981 ns;
4433;1065;13162770.30855 ns;
4434;1038;13259347.06256 ns;
4435;1027;13123127.63184 ns;
4436;1004;13121430.29645 ns;
4437;1017;13164939.82449 ns;
4438;1039;13195151.92881 ns;
4439;977;13120224.23372 ns;
4440;1002;13138751.03369 ns;
4441;1012;13163706.75340 ns;
4442;1043;13243166.72981 ns;
4443;1042;13494102.28431 ns;
4444;1012;13123131.82279 ns;
4445;1008;13124856.63220 ns;
4446;1035;13118397.91015 ns;
4447;1034;13221468.77646 ns;
4448;1046;13182712.71884 ns;
4449;1019;13118843.08234 ns;
4450;1014;13119782.78682 ns;
4451;1017;13304958.11999 ns;
4452;1001;13267665.17013 ns;
4453;996;13240378.81568 ns;
4454;1012;13121520.63474 ns;
4455;989;13120676.85649 ns;
4456;1005;13174111.95487 ns;
4457;997;13142735.69733 ns;
4458;1031;13278265.01802 ns;
4459;1064;13300428.16699 ns;
4460;1027;13205181.34162 ns;
4461;1008;13141436.96800 ns;
4462;1026;13157090.17217 ns;
4463;1038;13158082.03071 ns;
4464;1011;13138542.88310 ns;
4465;1016;13222607.78397 ns;
4466;1043;13122639.15315 ns;
4467;1046;13229873.03138 ns;
4468;1039;13239718.97364 ns;
4469;1036;13180485.92657 ns;
4470;986;13123511.80241 ns;
4471;1048;13261822.05230 ns;
4472;1006;13285416.64407 ns;
4473;1044;13222514.18605 ns;
4474;1019;13205861.20710 ns;
4475;1055;13120604.67899 ns;
4476;1041;13124288.05977 ns;
4477;1010;13150079.17583 ns;
4478;1052;13121827.97119 ns;
4479;997;13182687.10747 ns;
4480;1018;13122520.87519 ns;
4481;1033;13117873.57554 ns;
4482;1016;13263916.13111 ns;
4483;1025;13148494.99613 ns;
4484;1038;13161238.28292 ns;
4485;1023;13193232.00732 ns;
4486;1005;13199128.21054 ns;
4487;1038;13199802.95375 ns;
4488;1008;13136685.82588 ns;
4489;1027;13165265.78739 ns;
4490;1010;13125197.96193 ns;
4491;1013;13124099.00129 ns;
4492;1023;13167581.98664 ns;
4493;1033;13217460.82976 ns;
4494;976;13203972.01926 ns;
4495;1044;13160757.25481 ns;
4496;1006;13123121.11259 ns;
4497;1017;13160116.97054 ns;
4498;984;13118267.05933 ns;
4499;1041;13157166.07496 ns;
4500;1005;13165155.89133 ns;
4501;1066;13161748.18203 ns;
4502;1005;13163979.16526 ns;
4503;1046;13121371.15747 ns;
4504;1026;13178776.01832 ns;
4505;1048;13118581.38070 ns;
4506;1053;13180430.97854 ns;
4507;1040;13249886.22218 ns;
4508;1010;13207536.19075 ns;
4509;1050;13223952.14811 ns;
4510;1052;13162640.85472 ns;
4511;1035;13122182.80509 ns;
4512;1038;13197781.98376 ns;
4513;1030;13123447.07549 ns;
4514;1004;13160318.13622 ns;
4515;1003;13160540.25665 ns;
4516;1042;13119758.10677 ns;
4517;1046;13120440.76622 ns;
4518;1014;13120817.02054 ns;
4519;1009;13178875.20418 ns;
4520;1012;13181270.10018 ns;
4521;1028;13229041.82598 ns;
4522;1033;13199057.89569 ns;
4523;1034;13170618.09823 ns;
4524;1029;13217678.75925 ns;
4525;1036;13379862.06636 ns;
4526;997;13650790.32257 ns;
4527;1038;13176172.97173 ns;
4528;1044;13629025.77966 ns;
4529;1018;13231733.81388 ns;
4530;998;13164469.04093 ns;
4531;990;13201711.69937 ns;
4532;1029;13208740.39084 ns;
4533;1030;13336258.00908 ns;
4534;1026;13230422.04604 ns;
4535;1052;13185110.87447 ns;
4536;1019;15480822.88355 ns;
4537;1011;13153846.37564 ns;
4538;1024;13201306.10839 ns;
4539;1051;13259978.03360 ns;
4540;1063;13296310.32422 ns;
4541;1033;13241790.70070 ns;
4542;1022;13127655.25654 ns;
4543;1024;13233976.90430 ns;
4544;1018;13165941.92758 ns;
4545;1005;13120606.07597 ns;
4546;1065;13156585.86100 ns;
4547;994;13123688.75369 ns;
4548;1004;13221731.87509 ns;
4549;1060;13118735.98024 ns;
4550;1003;13200125.19136 ns;
4551;992;13261325.65737 ns;
4552;1042;13187841.97792 ns;
4553;984;13163079.04199 ns;
4554;1017;13124603.77812 ns;
4555;1005;13119368.34827 ns;
4556;1005;13137025.75862 ns;
4557;1056;13122341.12993 ns;
4558;1017;13254818.97220 ns;
4559;1038;13244830.07193 ns;
4560;1047;13276502.02438 ns;
4561;999;13168058.35813 ns;
4562;1037;13119173.70185 ns;
4563;1018;13265902.17650 ns;
4564;1087;13121987.22735 ns;
4565;1012;13123437.29660 ns;
4566;953;13161681.12680 ns;
4567;987;13198886.99800 ns;
4568;1008;13282400.09025 ns;
4569;1023;13142073.99264 ns;
4570;1034;13124010.99131 ns;
4571;1057;13188784.94203 ns;
4572;1030;13120857.06741 ns;
4573;1000;13159113.00480 ns;
4574;1026;13120259.15831 ns;
4575;990;13198730.07014 ns;
4576;1020;13179967.64556 ns;
4577;1029;13162817.80601 ns;
4578;1058;13176052.83111 ns;
4579;1013;13161500.91588 ns;
4580;1036;13244736.93967 ns;
4581;1057;13121903.87398 ns;
4582;1037;13177718.96720 ns;
4583;1030;13137827.16170 ns;
4584;1017;13164728.87993 ns;
4585;1036;13179874.97896 ns;
4586;1025;13161404.98966 ns;
4587;977;13123854.06345 ns;
4588;1025;13140083.75630 ns;
4589;1014;13121956.02804 ns;
4590;1021;13176886.83048 ns;
4591;1029;13186766.30035 ns;
4592;1061;13160055.96891 ns;
4593;1019;14656488.78366 ns;
4594;1029;13139369.89754 ns;
4595;1012;13689764.77534 ns;
4596;985;13524490.87426 ns;
4597;998;17086286.09776 ns;
4598;1062;13392050.75055 ns;
4599;1028;13184694.10762 ns;
4600;1026;13161236.88594 ns;
4601;1067;13143704.73847 ns;
4602;1051;13120146.93394 ns;
4603;1000;13121245.89458 ns;
4604;1039;13119000.94151 ns;
4605;1021;13121685.94450 ns;
4606;1007;13121692.92942 ns;
4607;1044;13165486.97650 ns;
4608;1081;13163961.93579 ns;
4609;1045;13160926.75552 ns;
4610;1009;13120829.12773 ns;
4611;1028;13122132.04801 ns;
4612;990;13177604.88018 ns;
4613;967;13159979.13480 ns;
4614;1037;13124607.03775 ns;
4615;1006;13160274.82972 ns;
4616;1042;13121820.05495 ns;
4617;994;13138901.90795 ns;
4618;1004;13177953.19483 ns;
4619;1038;13134744.94964 ns;
4620;990;13160667.38218 ns;
4621;1022;13118872.88466 ns;
4622;997;13158825.22613 ns;
4623;1052;13220240.82765 ns;
4624;1011;13165201.06047 ns;
4625;998;13121416.79227 ns;
4626;1016;13205039.31493 ns;
4627;1032;13183571.86392 ns;
4628;1028;13164957.98528 ns;
4629;1041;13164241.79822 ns;
4630;1025;13123864.30800 ns;
4631;1030;13119203.96984 ns;
4632;1039;13126288.07500 ns;
4633;1021;13121129.01360 ns;
4634;999;13241115.02618 ns;
4635;1020;13124306.22056 ns;
4636;1014;13133906.75932 ns;
4637;1005;13163527.00815 ns;
4638;1003;13184310.40272 ns;
4639;1019;13120508.28710 ns;
4640;1041;13120881.28179 ns;
4641;1056;13406094.62932 ns;
4642;1090;13179939.24022 ns;
4643;1078;13120322.02259 ns;
4644;1036;13286225.03206 ns;
4645;1028;13122113.88722 ns;
4646;1006;13143620.45377 ns;
4647;1018;13160703.70376 ns;
4648;1044;13122499.92043 ns;
4649;1031;13138875.83092 ns;
4650;976;13121672.44032 ns;
4651;1022;13126329.98452 ns;
4652;1059;13230354.99081 ns;
4653;1028;13259887.22965 ns;
4654;1017;13120051.93904 ns;
4655;1028;13159279.24588 ns;
4656;1026;13174045.83097 ns;
4657;1022;13307471.29396 ns;
4658;1011;13160071.33573 ns;
4659;1050;13201641.38451 ns;
4660;1055;13117924.79828 ns;
4661;1017;13136927.96975 ns;
4662;1064;13219248.96911 ns;
4663;993;13173826.03884 ns;
4664;1015;13305112.25387 ns;
4665;995;13181577.90229 ns;
4666;1048;13161336.07179 ns;
4667;1038;13181974.18004 ns;
4668;988;13161403.12701 ns;
4669;1050;13200561.98165 ns;
4670;990;13170190.62117 ns;
4671;1044;13120586.05254 ns;
4672;1004;13122509.69931 ns;
4673;1037;13175663.07262 ns;
4674;1036;13161675.07321 ns;
4675;1087;13118495.23336 ns;
4676;1038;13204288.66893 ns;
4677;1028;13162880.20462 ns;
4678;1045;13123908.08016 ns;
4679;1017;13218919.28092 ns;
4680;1053;13213306.66542 ns;
4681;1019;13143884.01806 ns;
4682;1055;13161636.88898 ns;
4683;1024;13126326.25923 ns;
4684;1018;13206698.00043 ns;
4685;1018;13203624.17027 ns;
4686;1018;13124443.12498 ns;
4687;1019;13161312.78872 ns;
4688;1022;13161079.02676 ns;
4689;1065;13241438.66077 ns;
4690;1029;13161284.84905 ns;
4691;1024;13124285.73146 ns;
4692;1043;13267345.26083 ns;
4693;1021;13697658.66548 ns;
4694;1047;13252206.14672 ns;
4695;1018;13125145.80786 ns;
4696;1065;13165477.19762 ns;
4697;1009;13122612.14480 ns;
4698;982;13118990.23131 ns;
4699;1050;13161637.82030 ns;
4700;1042;13179381.84366 ns;
4701;1011;13346221.29798 ns;
4702;1013;13199120.29430 ns;
4703;1054;13158814.98158 ns;
4704;1045;13312623.83610 ns;
4705;995;13178918.04501 ns;
4706;1014;13251197.99003 ns;
4707;1055;13243590.01592 ns;
4708;1021;13179481.96083 ns;
4709;991;13166754.97219 ns;
4710;1011;13123197.94670 ns;
4711;1004;13200152.19972 ns;
4712;1033;13158554.67692 ns;
4713;1053;13163076.24802 ns;
4714;1022;13299478.68362 ns;
4715;1047;13126817.99755 ns;
4716;1031;13159847.81832 ns;
4717;1046;13157662.00423 ns;
4718;1011;13165357.05701 ns;
4719;1033;13219158.16516 ns;
4720;1064;13136680.23795 ns;
4721;1018;13303295.24353 ns;
4722;1029;13205450.95950 ns;
4723;1022;13245920.18500 ns;
4724;1009;13162297.19669 ns;
4725;1035;13206691.94683 ns;
4726;1046;13257757.76058 ns;
4727;1069;13188625.68587 ns;
4728;1054;13122941.83299 ns;
4729;1032;13142103.32930 ns;
4730;1028;13177997.43265 ns;
4731;1003;13121261.72706 ns;
4732;1042;13123266.39891 ns;
4733;998;13192859.01263 ns;
4734;1066;13170776.88873 ns;
4735;1018;13609296.64224 ns;
4736;1037;13191895.09377 ns;
4737;1011;13189014.97871 ns;
4738;1001;13186535.79801 ns;
4739;991;13252819.88829 ns;
4740;1060;13235222.08259 ns;
4741;1027;13244437.98512 ns;
4742;1007;13257768.93646 ns;
4743;1010;13330163.89981 ns;
4744;1012;13326816.72648 ns;
4745;1069;13242599.08870 ns;
4746;1007;13198020.86800 ns;
4747;1055;13166914.22835 ns;
4748;1023;13172056.99161 ns;
4749;995;13404177.96746 ns;
4750;1011;13244305.73732 ns;
4751;1014;13286630.62304 ns;
4752;1012;13123514.13071 ns;
4753;1021;13220044.31859 ns;
4754;1027;13123918.79037 ns;
4755;1043;13122186.06472 ns;
4756;1002;13119571.84225 ns;
4757;1036;13165927.95774 ns;
4758;1024;13164702.80290 ns;
4759;1005;13164181.26225 ns;
4760;1029;13163863.68126 ns;
4761;1032;13159923.25544 ns;
4762;1042;13158003.33396 ns;
4763;993;13120291.75460 ns;
4764;1046;13123255.68870 ns;
4765;997;13162021.99087 ns;
4766;1028;13284708.83891 ns;
4767;999;13129306.02580 ns;
4768;1013;13202423.69547 ns;
4769;1019;13147439.34199 ns;
4770;1049;13204146.17658 ns;
4771;999;13161892.07137 ns;
4772;1057;13121887.57583 ns;
4773;1023;13161150.27294 ns;
4774;1074;13315937.01616 ns;
4775;1052;13117503.84048 ns;
4776;1035;13159067.37000 ns;
4777;1035;13138246.25686 ns;
4778;1035;13125173.74754 ns;
4779;1017;13158916.96140 ns;
4780;1028;13538098.89406 ns;
4781;1037;13317333.06870 ns;
4782;1053;13148456.34624 ns;
4783;1008;13200316.11249 ns;
4784;1038;13157044.07170 ns;
4785;1002;13125646.85941 ns;
4786;1022;13148192.78196 ns;
4787;1037;13125321.82783 ns;
4788;1044;13144462.83504 ns;
4789;994;13124459.88879 ns;
4790;1004;13123936.01984 ns;
4791;968;13203167.82221 ns;
4792;1033;13427305.96662 ns;
4793;1031;13153722.04408 ns;
4794;1021;13202225.78943 ns;
4795;1024;13199102.13351 ns;
4796;1005;13158350.71728 ns;
4797;1016;13197307.94057 ns;
4798;1023;13134442.26980 ns;
4799;1005;13122732.28541 ns;
4800;997;13160774.94994 ns;
4801;1032;13122821.69238 ns;
4802;1005;13134301.17443 ns;
4803;1004;13284053.65348 ns;
4804;1066;13300412.33450 ns;
4805;997;13218221.25465 ns;
4806;1044;13118784.87468 ns;
4807;1024;13123933.22587 ns;
4808;1008;13161491.13700 ns;
4809;1028;13119265.90279 ns;
4810;984;13185983.98939 ns;
4811;1011;13198751.95622 ns;
4812;1020;13202103.32051 ns;
4813;1036;13240677.77023 ns;
4814;1018;13123006.09425 ns;
4815;1034;13162042.94562 ns;
4816;1016;13216491.78863 ns;
4817;1048;13215126.00407 ns;
4818;1017;13234568.75980 ns;
4819;1037;13192404.99288 ns;
4820;1032;13118339.70249 ns;
4821;1048;13117773.92402 ns;
4822;1019;13121447.06026 ns;
4823;1029;13257157.98885 ns;
4824;1007;13164155.65088 ns;
4825;1018;13300365.30271 ns;
4826;1031;13162717.22317 ns;
4827;1029;13130928.85539 ns;
4828;1038;13123583.04858 ns;
4829;1065;13183500.15208 ns;
4830;1048;13118622.82455 ns;
4831;1054;13122292.23549 ns;
4832;1070;13238772.28424 ns;
4833;1039;13162259.01246 ns;
4834;1016;13297670.98650 ns;
4835;1019;13140064.19852 ns;
4836;977;13163887.89564 ns;
4837;1021;13157871.08615 ns;
4838;942;13163075.78236 ns;
4839;1018;13125224.97028 ns;
4840;1002;13122792.35572 ns;
4841;1015;13198100.03042 ns;
4842;994;13165823.18395 ns;
4843;1006;13257330.74918 ns;
4844;1002;13122937.17638 ns;
4845;1036;13143542.22268 ns;
4846;1031;13180511.07228 ns;
4847;1012;13329714.07101 ns;
4848;1020;13175991.82948 ns;
4849;1021;13467161.91620 ns;
4850;1032;13162100.22196 ns;
4851;1037;13161943.29411 ns;
4852;1007;13160075.06102 ns;
4853;1056;13152908.99947 ns;
4854;1046;13161812.90895 ns;
4855;1024;13119692.91419 ns;
4856;1015;13194134.92456 ns;
4857;1008;13165418.98996 ns;
4858;1038;13200071.17465 ns;
4859;1015;13136024.58686 ns;
4860;1027;13120124.11654 ns;
4861;1045;13225747.27237 ns;
4862;1011;13252413.83165 ns;
4863;1024;13236639.08988 ns;
4864;989;13190699.27558 ns;
4865;1041;13233450.70705 ns;
4866;1014;13246062.67735 ns;
4867;1034;13249626.84885 ns;
4868;1009;13372167.94491 ns;
4869;1027;13289675.11654 ns;
4870;1015;13515435.15921 ns;
4871;1045;13562449.71976 ns;
4872;1004;13184519.01898 ns;
4873;1022;13215642.88810 ns;
4874;1043;13256754.26051 ns;
4875;1016;13313349.33639 ns;
4876;1029;13294518.92525 ns;
4877;1047;13250561.43105 ns;
4878;1004;13532967.77233 ns;
4879;1003;13181858.69604 ns;
4880;1041;13185503.42694 ns;
4881;1027;13121754.39671 ns;
4882;1000;13249881.09991 ns;
4883;1007;13143919.87398 ns;
4884;1009;13123113.19634 ns;
4885;1057;13183157.42537 ns;
4886;1044;13178098.01549 ns;
4887;1004;13363949.02319 ns;
4888;1054;13148660.30589 ns;
4889;1045;13188431.97078 ns;
4890;1067;13224635.73888 ns;
4891;1003;13261069.07800 ns;
4892;1009;13177778.10618 ns;
4893;1025;13233600.64998 ns;
4894;1003;13204525.22486 ns;
4895;987;13249719.04978 ns;
4896;1031;13119529.93274 ns;
4897;1023;13184748.12433 ns;
4898;1060;13161738.86880 ns;
4899;1057;13120216.78314 ns;
