ID;HW;LENGTH;TIME
200;1066;13120837.97529 ns;
201;1009;13119206.29814 ns;
202;1034;13149738.31177 ns;
203;1085;13308964.20404 ns;
204;984;13120563.23513 ns;
205;979;13161244.33652 ns;
206;1012;13122207.01948 ns;
207;1047;13178857.97471 ns;
208;1056;13161721.17367 ns;
209;1039;13119748.32788 ns;
210;1001;13122528.79143 ns;
211;1030;13122550.21185 ns;
212;1024;13123091.77592 ns;
213;1025;13181277.08510 ns;
214;1009;13223105.11023 ns;
215;1022;13162353.07604 ns;
216;1026;13124813.79136 ns;
217;1044;13125224.97028 ns;
218;1011;13120761.14118 ns;
219;1012;13469152.61820 ns;
220;1052;13272946.70045 ns;
221;1050;13239592.77943 ns;
222;1047;13161963.78320 ns;
223;1023;13203655.36958 ns;
224;1024;13161664.82866 ns;
225;1030;13149839.82593 ns;
226;1012;13227621.09339 ns;
227;960;13161287.17735 ns;
228;1036;13122608.88517 ns;
229;1035;13119229.11555 ns;
230;1072;13160231.98888 ns;
231;974;13122809.11952 ns;
232;999;13490039.85524 ns;
233;1044;13163180.09049 ns;
234;1049;13122010.97608 ns;
235;1043;13203884.94059 ns;
236;1046;13260739.85547 ns;
237;1031;13203012.29134 ns;
238;1019;13162823.85960 ns;
239;1022;13121406.08206 ns;
240;1053;13151335.06432 ns;
241;1002;13119668.23414 ns;
242;998;13289390.59749 ns;
243;1003;13121644.03498 ns;
244;960;13454510.83034 ns;
245;981;13120189.30912 ns;
246;1022;13160903.00679 ns;
247;1051;13121070.80594 ns;
248;1011;13163489.75524 ns;
249;991;13160622.21304 ns;
250;1023;13231758.95959 ns;
251;1050;13119935.98938 ns;
252;1036;13160429.89492 ns;
253;995;13199539.85512 ns;
254;1050;13459366.28059 ns;
255;988;13413464.18485 ns;
256;1047;13289159.16383 ns;
257;1021;13286548.66666 ns;
258;1024;13342675.28728 ns;
259;1010;13307502.95892 ns;
260;1001;13585451.99037 ns;
261;991;13253180.77579 ns;
262;985;13261031.35943 ns;
263;1024;13298279.14014 ns;
264;1025;13338597.02572 ns;
265;1054;13447233.94141 ns;
266;1027;13382118.19530 ns;
267;1036;13240433.29805 ns;
268;1070;13402773.99868 ns;
269;1026;13239745.05067 ns;
270;990;13198198.28495 ns;
271;1032;13216384.68653 ns;
272;1022;13178545.05032 ns;
273;1007;13128228.01992 ns;
274;1028;13129756.32027 ns;
275;1052;13167357.07223 ns;
276;966;13430983.75946 ns;
277;1042;13137577.10159 ns;
278;1023;13157616.83509 ns;
279;1052;13134789.18746 ns;
280;1013;13201490.97592 ns;
281;987;13203645.12503 ns;
282;1011;13179067.05663 ns;
283;1053;13150033.07536 ns;
284;1070;13157434.76152 ns;
285;1031;13164993.84120 ns;
286;1020;13339795.17221 ns;
287;1042;13138419.01720 ns;
288;1011;13121937.40159 ns;
289;1049;13119193.25963 ns;
290;993;13121381.86768 ns;
291;1009;13195898.84952 ns;
292;992;13160645.96176 ns;
293;989;13120236.80657 ns;
294;1040;13163055.75892 ns;
295;1033;13189163.05900 ns;
296;1054;13275145.08739 ns;
297;1037;13271669.39154 ns;
298;1047;13343614.06043 ns;
299;1035;13196173.12402 ns;
300;1036;13124805.87512 ns;
301;1001;13121423.77719 ns;
302;1029;13656661.84574 ns;
303;1050;13125257.10091 ns;
304;1036;13245915.99405 ns;
305;989;13238099.86934 ns;
306;1055;13263559.43456 ns;
307;1045;13138781.76734 ns;
308;1037;13150765.09491 ns;
309;1006;13123573.26970 ns;
310;1002;13308357.91305 ns;
311;1039;13128006.83081 ns;
312;1014;13353304.93748 ns;
313;1041;13207512.90768 ns;
314;1015;13165520.03846 ns;
315;1002;13144769.70583 ns;
316;1026;13202784.11731 ns;
317;1049;13141169.21276 ns;
318;1074;13118919.91645 ns;
319;1040;13465366.79193 ns;
320;1009;13290321.92007 ns;
321;1025;13224937.95305 ns;
322;1011;13186848.25674 ns;
323;1021;13153567.91019 ns;
324;1006;13118629.80947 ns;
325;1025;13177394.86694 ns;
326;1014;13162839.22642 ns;
327;1016;13241964.85803 ns;
328;1010;13122615.87009 ns;
329;1031;13299145.27014 ns;
330;1036;13124157.67461 ns;
331;1079;13258407.82374 ns;
332;1016;13232997.15295 ns;
333;1013;13217710.88988 ns;
334;999;13221949.33891 ns;
335;1027;13162061.10641 ns;
336;1009;13164179.86527 ns;
337;1014;13162465.76607 ns;
338;989;13223409.18705 ns;
339;1011;13199831.82475 ns;
340;1009;13162884.86123 ns;
341;1014;13180090.11447 ns;
342;990;13316846.91831 ns;
343;1086;13178134.80273 ns;
344;970;13229202.94479 ns;
345;1011;13119754.84714 ns;
346;1028;13163326.77379 ns;
347;1017;13241227.71621 ns;
348;1020;13119198.84756 ns;
349;1024;13179730.62396 ns;
350;1034;13194289.98977 ns;
351;1020;13158273.41750 ns;
352;1025;13249354.90265 ns;
353;1011;13588271.10380 ns;
354;1036;13267266.09841 ns;
355;993;13206511.73592 ns;
356;990;13241400.94221 ns;
357;1040;13125029.85820 ns;
358;1031;13186420.77968 ns;
359;1035;13201323.80351 ns;
360;1059;13273332.26800 ns;
361;1004;13118334.58021 ns;
362;994;13226185.92530 ns;
363;1062;13160549.10421 ns;
364;1032;13140643.94683 ns;
365;1046;13119208.16079 ns;
366;981;13244892.93620 ns;
367;1053;13204277.02740 ns;
368;1052;13137030.88090 ns;
369;1004;13124784.92036 ns;
370;1049;13164267.87525 ns;
371;1024;13124226.12682 ns;
372;1004;13141002.97168 ns;
373;1026;13141199.94640 ns;
374;1024;13122807.25688 ns;
375;1032;13162564.95193 ns;
376;1048;13246570.24816 ns;
377;1031;13158374.93166 ns;
378;1032;13118954.37539 ns;
379;1016;13140032.06789 ns;
380;1014;13191558.88632 ns;
381;1034;13172482.60602 ns;
382;1014;13122387.69606 ns;
383;1035;13161119.07363 ns;
384;1032;13121154.15931 ns;
385;1076;13120708.05579 ns;
386;1000;13120792.34049 ns;
387;1024;13121878.26261 ns;
388;998;13141206.93132 ns;
389;992;13197035.06306 ns;
390;1029;13139345.68316 ns;
391;1044;13197275.80994 ns;
392;1040;13213281.05405 ns;
