ID;HW;TIME
212;121;1474191.43468 ns;
213;127;1481480.89647 ns;
214;119;1476730.22002 ns;
215;130;1475176.77397 ns;
216;136;1476684.58521 ns;
217;120;1476129.51696 ns;
218;123;1480583.10151 ns;
219;137;1531125.97764 ns;
220;121;1483025.96062 ns;
221;139;1476825.21492 ns;
222;140;1482131.89095 ns;
223;123;1558186.48636 ns;
224;138;1473536.71491 ns;
225;130;1476177.94573 ns;
226;125;1499085.68710 ns;
227;142;1520079.56058 ns;
228;119;1484150.99829 ns;
229;119;1521732.65815 ns;
230;126;1475384.45890 ns;
231;121;1480541.19200 ns;
232;131;1475804.48538 ns;
233;132;1499964.85561 ns;
234;112;1473197.71349 ns;
235;129;1476160.25060 ns;
236;116;1481420.36051 ns;
237;122;1538044.77304 ns;
238;121;1484598.03313 ns;
239;124;1473692.24578 ns;
240;141;1478645.01923 ns;
241;129;1476214.26731 ns;
242;121;1478913.24013 ns;
243;124;1476379.11141 ns;
244;125;1477023.58663 ns;
245;122;1474290.15487 ns;
246;115;1512034.79618 ns;
247;121;1517046.24295 ns;
248;126;1533982.34397 ns;
249;131;1538353.97214 ns;
250;131;1513022.92943 ns;
251;127;1519348.47236 ns;
252;122;1514851.11564 ns;
253;135;1518758.01384 ns;
254;143;1512819.90111 ns;
255;128;1535411.92412 ns;
256;133;1474855.46768 ns;
257;130;1481514.42409 ns;
258;126;1476312.98751 ns;
259;125;1537896.69275 ns;
260;141;1474955.11919 ns;
261;118;1475299.70855 ns;
262;138;1481120.47464 ns;
263;122;1494922.67519 ns;
264;115;1488329.84269 ns;
265;135;1511059.70144 ns;
266;134;1538854.09236 ns;
267;127;1516303.04754 ns;
268;133;1519812.27100 ns;
269;129;1515905.37280 ns;
270;135;1571270.63721 ns;
271;120;1475815.66125 ns;
272;128;1474875.95677 ns;
273;126;1476785.16805 ns;
274;150;1475009.13590 ns;
275;123;1509211.95745 ns;
276;129;1474399.11962 ns;
277;144;1482252.03156 ns;
278;131;1494437.45613 ns;
279;139;1477891.57927 ns;
280;127;1476391.21860 ns;
281;148;1479941.42026 ns;
282;127;1495276.57777 ns;
283;146;1514143.31049 ns;
284;141;1498760.65552 ns;
285;107;1475743.94941 ns;
286;136;1480284.14696 ns;
287;120;1476193.77822 ns;
288;120;1482055.52250 ns;
289;117;1481239.68393 ns;
290;118;1535114.83222 ns;
291;133;1475815.66125 ns;
292;137;1494050.95726 ns;
293;125;1579528.67448 ns;
294;112;1476219.85525 ns;
295;118;1481346.78602 ns;
296;149;1476983.53976 ns;
297;127;1480454.57900 ns;
298;122;1513510.94246 ns;
299;132;1474525.77949 ns;
300;130;1476419.15828 ns;
301;127;1475967.46683 ns;
302;130;1500575.80322 ns;
303;126;1476685.51654 ns;
304;135;1479031.51810 ns;
305;128;1474258.48991 ns;
306;126;1479218.71394 ns;
307;123;1474367.45465 ns;
308;128;1474351.62216 ns;
309;127;1475501.80554 ns;
310;133;1476255.24551 ns;
311;137;1480420.12006 ns;
312;117;1476437.78473 ns;
313;124;1481325.36560 ns;
314;130;1495903.35786 ns;
315;130;1479483.20955 ns;
316;134;1476324.16338 ns;
317;131;1474193.29733 ns;
318;136;1499062.40404 ns;
319;132;1477241.51611 ns;
320;128;1482193.35824 ns;
321;136;1477248.96669 ns;
322;120;1479960.97803 ns;
323;138;1494593.91832 ns;
324;134;1475690.86403 ns;
325;130;1476732.08266 ns;
326;136;1474479.21336 ns;
327;108;1498891.04068 ns;
328;137;1476096.92067 ns;
329;135;1501152.29189 ns;
330;132;1473797.48523 ns;
331;138;1499906.18229 ns;
332;119;1475000.75400 ns;
333;118;1600751.65331 ns;
334;120;1475295.98325 ns;
335;117;1475499.94290 ns;
336;130;1501010.73086 ns;
337;133;1474620.77439 ns;
338;120;1530597.91774 ns;
339;126;1529280.09629 ns;
340;124;1480829.90199 ns;
341;122;1474999.82268 ns;
342;131;1593625.17297 ns;
343;110;1474416.81474 ns;
344;135;1497088.93150 ns;
345;121;1476049.42322 ns;
346;128;1514507.45761 ns;
347;130;1478061.07998 ns;
348;129;1500505.95403 ns;
349;134;1480201.25926 ns;
350;121;1513730.73459 ns;
351;126;1481640.15263 ns;
352;132;1476539.29889 ns;
353;123;1539373.77036 ns;
354;127;1473227.51582 ns;
355;118;1475836.15035 ns;
356;152;1561967.65602 ns;
357;130;1474821.94006 ns;
358;121;1482111.40186 ns;
359;119;1475089.22964 ns;
360;136;1483023.16666 ns;
361;132;1474374.90523 ns;
362;126;1478685.06610 ns;
363;133;1475748.60603 ns;
364;120;1475932.07657 ns;
365;119;1475655.47377 ns;
366;112;1476250.58889 ns;
367;137;1482849.00934 ns;
368;123;1475427.29974 ns;
369;141;1483527.94349 ns;
370;134;1555488.44486 ns;
371;140;1479353.75571 ns;
372;120;1476882.95692 ns;
373;141;1474627.29365 ns;
374;138;1477068.29011 ns;
375;125;1474990.50945 ns;
376;118;1479199.15617 ns;
377;136;1476797.27525 ns;
378;124;1479161.90326 ns;
379;141;1474677.58507 ns;
380;126;1480769.36603 ns;
381;129;1475209.37026 ns;
382;130;1475756.05661 ns;
383;140;1494347.11784 ns;
384;134;1536124.38589 ns;
385;133;1481925.13734 ns;
386;128;1475285.73871 ns;
387;143;1479811.03510 ns;
388;129;1476922.07247 ns;
389;132;1478202.64101 ns;
390;128;1475259.66167 ns;
391;127;1479922.79381 ns;
392;120;1475851.98283 ns;
393;124;1573861.57662 ns;
394;122;1476369.79818 ns;
395;120;1558382.06410 ns;
396;122;1479332.33529 ns;
397;129;1475430.09371 ns;
398;135;1542344.68937 ns;
399;136;1475951.63435 ns;
400;135;1481115.81802 ns;
401;127;1476718.11283 ns;
402;121;1492943.61472 ns;
403;138;1474962.56977 ns;
404;131;1475350.93129 ns;
405;119;1478740.01414 ns;
406;127;1475688.07006 ns;
407;116;1500319.68951 ns;
408;126;1474081.53862 ns;
409;133;1484693.95936 ns;
410;142;1477795.65305 ns;
411;129;1476611.94205 ns;
412;139;1474705.52474 ns;
413;116;1475304.36516 ns;
414;128;1480593.34606 ns;
415;132;1475312.74706 ns;
416;134;1481054.35073 ns;
417;133;1475069.67187 ns;
418;121;1479315.57149 ns;
419;137;1532190.47934 ns;
420;119;1475751.39999 ns;
421;137;1474668.27184 ns;
422;127;1475206.57629 ns;
423;130;1479660.16084 ns;
424;126;1475973.98609 ns;
425;122;1478890.88839 ns;
426;133;1475121.82593 ns;
427;109;1500412.82177 ns;
428;144;1514072.52997 ns;
429;128;1478253.86375 ns;
430;123;1504158.60116 ns;
431;144;1476419.15828 ns;
432;127;1479683.44390 ns;
433;129;1475931.14525 ns;
434;135;1478618.01088 ns;
435;127;1476608.21676 ns;
436;143;1480589.62077 ns;
437;133;1479519.53113 ns;
438;134;1475288.53267 ns;
439;129;1474851.74239 ns;
440;132;1475120.89461 ns;
441;119;1481452.02547 ns;
442;126;1474850.81106 ns;
443;152;1499975.10016 ns;
444;117;1476880.16295 ns;
445;137;1479543.74552 ns;
446;127;1478591.00252 ns;
447;128;1474897.37719 ns;
448;134;1475456.17074 ns;
449;131;1475644.29790 ns;
450;122;1481802.20276 ns;
451;133;1473956.74139 ns;
452;121;1480993.81477 ns;
453;128;1476572.82650 ns;
454;131;1481278.79947 ns;
455;131;1493885.18184 ns;
456;128;1475010.06722 ns;
457;136;1485092.56542 ns;
458;127;1476212.40467 ns;
459;116;1501484.77405 ns;
460;133;1473383.04669 ns;
461;122;1479145.13946 ns;
462;122;1482756.80840 ns;
463;142;1505153.25367 ns;
464;121;1475303.43384 ns;
465;139;1475671.30625 ns;
466;124;1475425.43709 ns;
467;124;1475222.40877 ns;
468;125;1479943.28290 ns;
469;127;1476556.06270 ns;
470;137;1481762.15589 ns;
471;133;1496179.02935 ns;
472;133;1518942.41571 ns;
473;135;1511313.95251 ns;
474;121;1518574.54330 ns;
475;127;1512937.24775 ns;
476;126;1513969.15317 ns;
477;123;1476467.58705 ns;
478;122;1474081.53862 ns;
479;127;1479261.55478 ns;
480;129;1475711.35312 ns;
481;128;1479869.70842 ns;
482;125;1473598.18220 ns;
483;126;1481055.28206 ns;
484;113;1474665.47787 ns;
485;128;1516913.06382 ns;
486;133;1475018.44913 ns;
487;139;1476038.24735 ns;
488;117;1480136.06668 ns;
489;122;1476441.51002 ns;
490;122;1482891.85017 ns;
491;132;1513984.05433 ns;
492;127;1481053.41941 ns;
493;140;1474856.39900 ns;
494;121;1476473.17499 ns;
495;123;1475973.98609 ns;
496;123;1513270.66123 ns;
497;120;1482263.20744 ns;
498;125;1498244.70282 ns;
499;121;1520361.75132 ns;
500;122;1474526.71081 ns;
501;138;1478748.39604 ns;
502;126;1476394.94389 ns;
503;128;1477422.19269 ns;
504;128;1473098.99330 ns;
505;132;1475917.17541 ns;
506;132;1484654.84381 ns;
507;128;1475467.34661 ns;
508;111;1479005.44107 ns;
509;124;1488719.13552 ns;
510;123;1517482.10192 ns;
511;127;1476370.72951 ns;
512;129;1480689.27228 ns;
513;142;1494422.55497 ns;
514;114;1474250.10800 ns;
515;127;1529791.39239 ns;
516;129;1534108.07252 ns;
517;130;1498745.75436 ns;
518;125;1476859.67386 ns;
519;121;1517727.03975 ns;
520;135;1475067.80922 ns;
521;129;1530808.39664 ns;
522;127;1475899.48028 ns;
523;113;1480700.44816 ns;
524;131;1476624.98057 ns;
525;129;1514893.02516 ns;
526;120;1515616.66280 ns;
527;115;1517878.84533 ns;
528;127;1475719.73503 ns;
529;121;1477286.21960 ns;
530;124;1479177.73575 ns;
531;129;1473519.01978 ns;
532;114;1568610.77994 ns;
533;125;1513942.14481 ns;
534;133;1517434.60447 ns;
535;118;1512106.50802 ns;
536;126;1480451.78503 ns;
537;130;1476378.18009 ns;
538;115;1496473.32728 ns;
539;128;1476818.69566 ns;
540;133;1494052.81991 ns;
541;122;1481169.83473 ns;
542;122;1474679.44771 ns;
543;124;1479800.79055 ns;
544;128;1476204.02277 ns;
545;126;1480823.38274 ns;
546;117;1475411.46725 ns;
547;134;1493788.32430 ns;
548;130;1474717.63194 ns;
549;114;1475441.26958 ns;
550;128;1481757.49928 ns;
551;124;1475737.43016 ns;
552;118;1532864.75688 ns;
553;124;1515091.39687 ns;
554;121;1519142.65007 ns;
555;131;1475774.68306 ns;
556;135;1480340.95764 ns;
557;127;1473830.08152 ns;
558;150;1478309.74311 ns;
559;128;1475008.20458 ns;
560;134;1492708.92143 ns;
561;130;1516944.72879 ns;
562;130;1512755.63985 ns;
563;124;1523680.98497 ns;
564;117;1473663.37478 ns;
565;130;1477738.84237 ns;
566;135;1474012.62075 ns;
567;126;1480706.96741 ns;
568;122;1476565.37592 ns;
569;125;1473940.90891 ns;
570;125;1479580.06710 ns;
571;125;1475821.24919 ns;
572;146;1478972.84478 ns;
573;107;1494990.66174 ns;
574;131;1490280.03216 ns;
575;124;1475623.80880 ns;
576;128;1478353.51527 ns;
577;129;1475547.44035 ns;
578;132;1474876.88810 ns;
579;130;1480547.71125 ns;
580;139;1476122.06638 ns;
581;138;1479965.63464 ns;
582;135;1476756.29705 ns;
583;136;1480865.29225 ns;
584;122;1507251.52344 ns;
585;123;1478962.60023 ns;
586;132;1495706.84880 ns;
587;128;1477123.23815 ns;
588;123;1478808.93201 ns;
589;134;1475347.20600 ns;
590;145;1498447.73114 ns;
591;120;1496601.84979 ns;
592;139;1508487.38849 ns;
593;131;1474746.50294 ns;
594;127;1475227.99671 ns;
595;117;1499644.48065 ns;
596;123;1474717.63194 ns;
597;130;1478617.07956 ns;
598;138;1500749.02922 ns;
599;116;1480274.83374 ns;
600;129;1476213.33599 ns;
601;133;1479062.25175 ns;
602;123;1474669.20316 ns;
603;141;1476256.17683 ns;
604;126;1473465.00307 ns;
605;122;1475199.12571 ns;
606;112;1480885.78135 ns;
607;124;1474034.97249 ns;
608;132;1481888.81576 ns;
609;125;1474626.36232 ns;
610;141;1515309.32635 ns;
611;122;1473491.08011 ns;
612;132;1494076.10297 ns;
613;121;1476806.58847 ns;
614;127;1474380.49316 ns;
615;132;1477956.77185 ns;
616;136;1477217.30173 ns;
617;117;1481600.10576 ns;
618;135;1474401.91358 ns;
619;126;1483240.16482 ns;
620;121;1476795.41260 ns;
